Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Gas Usage (l),Electricity Usage (W),Welding Cycle Time
21.00,109.99,12.30,0.09,0.00,0.28
21.00,88.99,10.20,0.08,0.00,0.28
49.00,81.00,10.20,0.11,0.00,0.34
32.00,111.99,13.90,0.11,0.00,0.36
32.00,97.49,11.75,0.18,0.00,0.56
21.00,102.49,11.90,0.17,0.00,0.58
32.00,107.99,11.30,0.39,0.00,1.23
32.00,89.99,10.90,0.41,0.00,1.30
21.00,102.74,10.48,0.43,0.00,1.39
32.00,106.74,11.78,0.44,0.00,1.42
21.00,92.74,12.20,0.43,0.00,1.47
21.00,104.25,13.43,0.41,0.00,1.49
32.00,107.39,11.22,0.45,0.00,1.49
21.00,99.59,13.86,0.37,0.00,1.50
26.00,105.39,11.24,0.46,0.00,1.50
21.00,97.74,13.78,0.39,0.00,1.52
21.00,97.19,14.20,0.41,0.00,1.52
21.00,108.49,12.20,0.40,0.00,1.53
21.00,106.99,12.40,0.41,0.00,1.53
21.00,97.99,13.68,0.40,0.00,1.55
21.00,101.59,13.22,0.41,0.00,1.56
21.00,99.99,13.65,0.40,0.00,1.56
21.00,96.74,14.75,0.40,0.00,1.56
21.00,104.49,14.33,0.42,0.00,1.56
21.00,106.19,12.54,0.40,0.00,1.58
21.00,101.79,13.76,0.40,0.00,1.58
21.00,104.24,13.38,0.42,0.00,1.59
21.00,98.59,14.50,0.42,0.00,1.61
21.00,95.39,14.46,0.38,0.00,1.63
21.00,100.49,13.43,0.42,0.00,1.64
21.00,99.79,13.70,0.41,0.00,1.64
21.00,96.24,14.20,0.42,0.00,1.64
21.00,107.79,12.64,0.42,0.00,1.66
21.00,93.80,14.86,0.43,0.00,1.66
21.00,104.39,13.18,0.42,0.00,1.66
21.00,95.49,15.68,0.44,0.00,1.66
21.00,100.99,13.42,0.45,0.00,1.67
21.00,103.39,13.08,0.43,0.00,1.69
21.00,98.74,14.25,0.42,0.00,1.69
21.00,95.74,14.35,0.40,0.00,1.69
21.00,102.74,13.40,0.42,0.00,1.70
21.00,99.79,13.24,0.43,0.00,1.70
21.00,101.00,13.88,0.46,0.00,1.72
21.00,103.74,12.65,0.45,0.00,1.72
21.00,96.24,14.78,0.44,0.00,1.72
21.00,97.24,13.83,0.40,0.00,1.73
21.00,103.50,14.10,0.46,0.00,1.73
21.00,99.33,13.43,0.49,0.00,1.75
21.00,111.79,13.84,0.45,0.00,1.75
21.00,94.99,14.88,0.46,0.00,1.75
21.00,101.16,13.72,0.46,0.00,1.77
21.00,105.49,13.90,0.45,0.00,1.77
21.00,98.49,14.50,0.43,0.00,1.77
21.00,99.39,12.80,0.46,0.00,1.78
21.00,103.00,13.02,0.45,0.00,1.78
21.00,105.24,13.25,0.45,0.00,1.78
21.00,94.59,15.40,0.45,0.00,1.78
21.00,108.83,10.73,0.53,0.00,1.78
21.00,107.39,12.94,0.46,0.00,1.80
21.00,110.19,12.68,0.44,0.00,1.80
21.00,94.59,14.64,0.46,0.00,1.80
21.00,106.99,12.20,0.42,0.00,1.81
21.00,96.40,14.80,0.48,0.00,1.81
21.00,120.79,12.70,0.47,0.00,1.81
21.00,99.39,14.16,0.45,0.00,1.81
21.00,103.74,13.28,0.46,0.00,1.81
21.00,122.59,13.24,0.48,0.00,1.81
21.00,99.79,13.74,0.43,0.00,1.83
21.00,98.79,13.68,0.45,0.00,1.83
21.00,93.00,15.28,0.44,0.00,1.83
21.00,108.59,12.72,0.44,0.00,1.84
21.00,107.99,12.30,0.45,0.00,1.84
21.00,106.19,12.70,0.47,0.00,1.84
21.00,97.99,14.74,0.48,0.00,1.84
21.00,104.59,13.54,0.47,0.00,1.84
21.00,98.20,14.80,0.50,0.00,1.86
21.00,106.79,12.22,0.48,0.00,1.86
21.00,96.20,14.82,0.49,0.00,1.86
21.00,99.39,13.56,0.45,0.00,1.88
21.00,114.20,13.16,0.46,0.00,1.88
21.00,110.32,13.68,0.49,0.00,1.88
21.00,105.24,12.33,0.45,0.00,1.89
21.00,104.99,12.48,0.47,0.00,1.89
21.00,107.50,12.35,0.45,0.00,1.89
21.00,104.83,10.83,0.58,0.00,1.89
21.00,97.19,14.52,0.49,0.00,1.89
21.00,119.99,12.22,0.48,0.00,1.89
21.00,104.79,13.86,0.51,0.00,1.89
21.00,98.20,14.84,0.49,0.00,1.89
21.00,107.59,12.24,0.49,0.00,1.91
21.00,99.39,13.42,0.48,0.00,1.91
21.00,107.49,12.15,0.48,0.00,1.91
21.00,106.49,12.20,0.45,0.00,1.91
21.00,103.99,12.58,0.44,0.00,1.91
21.00,106.59,12.42,0.49,0.00,1.91
21.00,104.00,13.03,0.48,0.00,1.91
21.00,96.39,14.76,0.50,0.00,1.91
21.00,101.83,13.78,0.51,0.00,1.91
21.00,103.19,13.46,0.49,0.00,1.91
21.00,98.39,14.12,0.48,0.00,1.91
21.00,97.79,13.92,0.45,0.00,1.92
21.00,107.24,12.10,0.47,0.00,1.92
21.00,117.33,12.65,0.51,0.00,1.92
21.00,103.99,13.40,0.50,0.00,1.92
21.00,103.59,13.34,0.51,0.00,1.92
21.00,97.99,14.56,0.51,0.00,1.92
21.00,96.79,14.26,0.49,0.00,1.92
21.00,121.60,12.50,0.51,0.00,1.92
21.00,107.16,12.55,0.52,0.00,1.94
21.00,108.19,12.68,0.51,0.00,1.94
21.00,99.49,13.73,0.45,0.00,1.94
21.00,108.20,12.58,0.47,0.00,1.94
21.00,121.33,12.33,0.49,0.00,1.95
21.00,94.19,15.02,0.52,0.00,1.95
21.00,94.49,14.65,0.47,0.00,1.95
21.00,103.79,12.76,0.47,0.00,1.95
21.00,100.99,13.65,0.51,0.00,1.95
21.00,117.16,13.03,0.49,0.00,1.97
21.00,98.19,13.78,0.48,0.00,1.97
21.00,94.79,14.72,0.48,0.00,1.97
21.00,100.19,13.92,0.50,0.00,1.98
21.00,103.19,13.06,0.50,0.00,1.98
21.00,103.79,12.98,0.49,0.00,1.98
21.00,109.66,12.65,0.53,0.00,1.98
21.00,109.19,12.56,0.49,0.00,1.99
21.00,109.19,12.52,0.50,0.00,1.99
21.00,96.80,14.46,0.52,0.00,1.99
21.00,107.99,12.55,0.49,0.00,2.00
21.00,98.24,13.93,0.49,0.00,2.00
21.00,108.59,12.74,0.53,0.00,2.00
21.00,119.79,12.10,0.52,0.00,2.00
21.00,103.40,12.70,0.54,0.00,2.00
21.00,94.59,14.42,0.52,0.00,2.00
21.00,97.40,14.28,0.53,0.00,2.00
21.00,93.19,15.38,0.47,0.00,2.02
21.00,104.99,12.80,0.48,0.00,2.02
21.00,96.00,14.34,0.54,0.00,2.02
21.00,98.20,14.08,0.51,0.00,2.02
21.00,97.39,14.40,0.53,0.00,2.02
21.00,102.14,13.79,0.54,0.00,2.02
21.00,107.00,11.95,0.48,0.00,2.02
21.00,107.24,12.00,0.48,0.00,2.02
21.00,102.66,13.08,0.52,0.00,2.02
21.00,94.74,14.90,0.50,0.00,2.03
21.00,122.39,12.88,0.50,0.00,2.03
21.00,117.79,13.08,0.51,0.00,2.03
21.00,96.59,13.52,0.51,0.00,2.03
21.00,114.99,13.28,0.52,0.00,2.03
21.00,109.33,14.03,0.49,0.00,2.03
21.00,102.33,14.15,0.55,0.00,2.03
21.00,104.79,12.70,0.51,0.00,2.03
21.00,117.39,12.86,0.52,0.00,2.03
21.00,121.79,12.14,0.47,0.00,2.03
21.00,115.80,12.84,0.49,0.00,2.05
21.00,98.39,13.88,0.52,0.00,2.05
21.00,101.39,13.72,0.53,0.00,2.06
21.00,106.67,12.23,0.56,0.00,2.06
21.00,108.33,14.70,0.51,0.00,2.06
21.00,98.24,13.73,0.50,0.00,2.08
21.00,114.25,13.03,0.50,0.00,2.08
21.00,103.20,12.44,0.53,0.00,2.08
21.00,114.39,12.92,0.51,0.00,2.08
21.00,108.39,13.00,0.51,0.00,2.08
21.00,116.42,13.07,0.54,0.00,2.08
21.00,101.59,13.20,0.51,0.00,2.08
21.00,119.19,12.92,0.53,0.00,2.09
21.00,94.99,14.10,0.55,0.00,2.09
21.00,96.99,13.60,0.53,0.00,2.09
21.00,121.19,12.48,0.53,0.00,2.09
21.00,104.99,13.38,0.54,0.00,2.09
21.00,102.14,13.94,0.59,0.00,2.09
21.00,111.82,12.93,0.51,0.00,2.09
21.00,103.79,13.36,0.55,0.00,2.11
21.00,113.99,14.28,0.52,0.00,2.11
21.00,110.66,13.20,0.52,0.00,2.11
21.00,108.39,12.72,0.52,0.00,2.11
21.00,105.79,12.42,0.53,0.00,2.13
21.00,101.99,13.20,0.49,0.00,2.13
21.00,119.82,12.85,0.55,0.00,2.13
21.00,95.19,15.14,0.52,0.00,2.13
21.00,104.24,13.53,0.51,0.00,2.13
21.00,99.39,13.78,0.52,0.00,2.14
21.00,121.83,13.07,0.55,0.00,2.14
21.00,103.66,12.94,0.55,0.00,2.14
21.00,120.74,12.25,0.55,0.00,2.14
21.00,116.00,12.93,0.54,0.00,2.14
21.00,100.66,13.72,0.57,0.00,2.14
21.00,104.49,13.65,0.51,0.00,2.14
21.00,102.33,12.87,0.56,0.00,2.14
21.00,107.59,12.36,0.57,0.00,2.14
21.00,116.59,12.66,0.51,0.00,2.16
21.00,111.83,12.90,0.55,0.00,2.16
21.00,97.59,14.30,0.53,0.00,2.16
21.00,120.39,12.18,0.52,0.00,2.16
21.00,111.16,12.85,0.57,0.00,2.17
21.00,109.66,12.37,0.56,0.00,2.17
21.00,98.16,13.58,0.57,0.00,2.17
21.00,106.19,13.10,0.52,0.00,2.17
21.00,96.16,14.23,0.57,0.00,2.17
21.00,107.83,13.82,0.52,0.00,2.17
21.00,98.99,14.78,0.55,0.00,2.17
21.00,107.49,12.28,0.53,0.00,2.19
21.00,103.16,13.07,0.59,0.00,2.19
21.00,114.19,13.40,0.52,0.00,2.19
21.00,102.66,13.50,0.56,0.00,2.19
21.00,101.39,13.48,0.56,0.00,2.19
21.00,94.99,14.29,0.58,0.00,2.19
21.00,121.79,12.64,0.57,0.00,2.19
21.00,98.66,14.98,0.59,0.00,2.19
21.00,95.66,12.83,0.58,0.00,2.19
21.00,115.99,12.87,0.57,0.00,2.20
21.00,102.99,12.77,0.57,0.00,2.20
21.00,103.49,12.75,0.57,0.00,2.20
21.00,99.19,14.18,0.57,0.00,2.22
21.00,121.66,11.97,0.59,0.00,2.22
21.00,96.49,14.10,0.60,0.00,2.22
21.00,92.99,15.15,0.55,0.00,2.22
21.00,108.83,13.03,0.56,0.00,2.22
21.00,101.79,14.30,0.56,0.00,2.23
21.00,109.39,12.52,0.57,0.00,2.23
21.00,99.16,13.45,0.57,0.00,2.23
21.00,99.66,13.59,0.57,0.00,2.23
21.00,100.79,14.17,0.56,0.00,2.23
21.00,113.19,13.78,0.51,0.00,2.24
21.00,106.33,12.03,0.58,0.00,2.25
21.00,99.50,13.53,0.59,0.00,2.25
21.00,102.66,12.85,0.60,0.00,2.25
21.00,109.24,13.02,0.56,0.00,2.25
21.00,118.49,12.45,0.56,0.00,2.25
21.00,111.39,13.40,0.55,0.00,2.25
21.00,121.80,12.70,0.56,0.00,2.25
21.00,115.33,13.52,0.55,0.00,2.25
21.00,103.00,13.54,0.56,0.00,2.25
21.00,95.50,13.45,0.60,0.00,2.25
21.00,100.59,13.70,0.55,0.00,2.27
21.00,116.16,13.40,0.57,0.00,2.27
21.00,114.20,13.70,0.55,0.00,2.27
21.00,122.99,12.28,0.58,0.00,2.28
21.00,115.13,12.71,0.58,0.00,2.28
21.00,103.12,11.22,0.63,0.00,2.30
21.00,112.99,13.27,0.59,0.00,2.30
21.00,107.39,13.12,0.60,0.00,2.31
21.00,105.79,12.54,0.62,0.00,2.31
21.00,106.19,13.42,0.57,0.00,2.31
21.00,97.49,14.60,0.57,0.00,2.31
21.00,98.85,14.01,0.59,0.00,2.33
21.00,114.79,13.28,0.57,0.00,2.33
21.00,107.79,12.32,0.60,0.00,2.33
21.00,100.33,14.07,0.60,0.00,2.33
21.00,101.85,11.33,0.62,0.00,2.34
21.00,102.16,14.44,0.58,0.00,2.34
21.00,105.83,11.50,0.64,0.00,2.34
21.00,96.85,14.26,0.63,0.00,2.34
21.00,94.85,14.46,0.62,0.00,2.36
21.00,118.17,13.58,0.57,0.00,2.36
21.00,107.33,12.28,0.62,0.00,2.38
21.00,100.79,13.68,0.63,0.00,2.38
21.00,121.19,13.34,0.59,0.00,2.38
21.00,111.16,12.53,0.57,0.00,2.39
21.00,98.83,13.77,0.59,0.00,2.39
21.00,106.16,12.92,0.59,0.00,2.39
21.00,109.79,12.44,0.57,0.00,2.41
21.00,106.33,11.35,0.67,0.00,2.42
21.00,98.99,14.07,0.61,0.00,2.42
21.00,110.66,12.65,0.58,0.00,2.42
21.00,101.85,11.19,0.64,0.00,2.44
21.00,117.49,13.20,0.61,0.00,2.44
21.00,101.13,13.27,0.63,0.00,2.45
26.00,109.87,11.89,0.73,0.00,2.47
21.00,100.99,13.80,0.64,0.00,2.47
21.00,89.83,13.98,0.66,0.00,2.47
21.00,103.49,13.42,0.62,0.00,2.47
32.00,108.36,11.84,0.77,0.00,2.47
21.00,99.66,13.38,0.64,0.00,2.48
21.00,99.99,14.72,0.61,0.00,2.48
26.00,103.62,11.39,0.73,0.00,2.49
21.00,108.85,12.51,0.64,0.00,2.49
21.00,105.99,10.84,0.68,0.00,2.50
21.00,102.50,12.78,0.68,0.00,2.50
49.00,95.42,11.43,0.75,0.00,2.50
21.00,104.66,13.48,0.62,0.00,2.50
21.00,106.42,11.46,0.68,0.00,2.52
21.00,95.99,10.79,0.69,0.00,2.52
21.00,105.56,11.59,0.65,0.00,2.52
21.00,99.49,13.53,0.61,0.00,2.52
21.00,97.33,13.67,0.68,0.00,2.52
21.00,104.74,12.92,0.68,0.00,2.53
21.00,106.49,10.95,0.67,0.00,2.53
21.00,102.42,11.41,0.66,0.00,2.53
21.00,104.25,11.85,0.68,0.00,2.55
21.00,105.85,13.34,0.62,0.00,2.56
21.00,106.85,11.36,0.67,0.00,2.56
21.00,99.71,11.23,0.70,0.00,2.56
21.00,104.42,11.99,0.67,0.00,2.58
21.00,100.00,11.15,0.70,0.00,2.58
21.00,104.85,11.79,0.66,0.00,2.58
21.00,94.28,11.29,0.65,0.00,2.58
21.00,105.57,11.74,0.65,0.00,2.58
21.00,100.99,11.18,0.69,0.00,2.58
21.00,99.85,11.06,0.69,0.00,2.58
21.00,100.87,13.09,0.71,0.00,2.58
21.00,106.56,11.04,0.67,0.00,2.58
21.00,107.28,12.03,0.69,0.00,2.58
21.00,111.74,10.49,0.74,0.00,2.59
21.00,102.28,11.27,0.66,0.00,2.59
21.00,100.42,11.69,0.67,0.00,2.59
21.00,100.42,11.00,0.68,0.00,2.59
21.00,103.49,11.88,0.65,0.00,2.59
21.00,105.71,12.53,0.63,0.00,2.59
21.00,95.37,10.73,0.70,0.00,2.59
21.00,99.99,11.14,0.67,0.00,2.61
21.00,103.75,12.12,0.70,0.00,2.61
21.00,99.56,11.06,0.69,0.00,2.61
21.00,102.42,11.34,0.72,0.00,2.61
21.00,112.56,10.80,0.74,0.00,2.63
21.00,105.99,11.59,0.65,0.00,2.63
21.00,106.33,11.45,0.64,0.00,2.63
26.00,106.56,12.67,0.72,0.00,2.63
26.00,99.75,11.37,0.80,0.00,2.63
21.00,104.24,12.27,0.77,0.00,2.64
21.00,99.57,12.24,0.73,0.00,2.64
21.00,101.42,11.14,0.71,0.00,2.64
21.00,100.62,11.15,0.71,0.00,2.64
21.00,99.28,11.23,0.70,0.00,2.64
21.00,105.66,11.62,0.71,0.00,2.64
21.00,100.37,11.13,0.73,0.00,2.64
21.00,106.66,11.08,0.70,0.00,2.66
21.00,103.33,11.90,0.68,0.00,2.66
21.00,92.24,10.90,0.68,0.00,2.66
21.00,89.99,10.08,0.71,0.00,2.66
21.00,106.12,11.75,0.69,0.00,2.66
21.00,106.57,11.26,0.69,0.00,2.66
21.00,93.99,10.60,0.70,0.00,2.66
21.00,109.56,10.31,0.77,0.00,2.67
21.00,102.12,12.40,0.79,0.00,2.67
21.00,103.37,12.44,0.72,0.00,2.67
21.00,106.56,11.50,0.72,0.00,2.67
21.00,101.42,11.23,0.69,0.00,2.67
21.00,101.85,11.70,0.68,0.00,2.69
21.00,106.14,12.48,0.70,0.00,2.69
26.00,106.13,12.46,0.75,0.00,2.69
21.00,88.44,10.26,0.73,0.00,2.69
21.00,109.42,10.43,0.78,0.00,2.70
21.00,106.56,12.20,0.79,0.00,2.70
21.00,102.74,12.50,0.74,0.00,2.70
21.00,99.49,11.25,0.70,0.00,2.70
21.00,106.00,11.57,0.66,0.00,2.70
21.00,94.10,10.75,0.73,0.00,2.70
26.00,108.55,12.83,0.74,0.00,2.70
21.00,101.56,11.18,0.69,0.00,2.72
21.00,107.28,11.27,0.76,0.00,2.72
26.00,105.42,11.44,0.76,0.00,2.72
26.00,107.49,12.39,0.75,0.00,2.72
21.00,103.56,11.79,0.73,0.00,2.72
26.00,108.22,12.34,0.74,0.00,2.72
21.00,91.74,11.09,0.74,0.00,2.72
21.00,100.42,11.46,0.68,0.00,2.73
21.00,100.14,12.86,0.71,0.00,2.73
21.00,113.12,10.63,0.76,0.00,2.74
21.00,108.70,11.83,0.74,0.00,2.74
21.00,101.71,11.06,0.78,0.00,2.75
21.00,109.99,10.35,0.80,0.00,2.75
21.00,103.12,11.20,0.79,0.00,2.75
21.00,104.16,12.34,0.72,0.00,2.75
21.00,100.12,13.05,0.74,0.00,2.75
21.00,102.99,11.53,0.72,0.00,2.75
21.00,105.85,13.14,0.71,0.00,2.75
26.00,103.88,12.40,0.80,0.00,2.75
21.00,88.61,10.39,0.69,0.00,2.75
21.00,104.99,11.94,0.70,0.00,2.77
21.00,106.75,12.20,0.68,0.00,2.77
21.00,107.14,12.42,0.75,0.00,2.77
21.00,104.00,11.57,0.73,0.00,2.77
21.00,107.56,11.03,0.74,0.00,2.77
26.00,111.99,11.68,0.76,0.00,2.77
26.00,111.99,12.20,0.77,0.00,2.77
26.00,107.86,12.72,0.74,0.00,2.77
21.00,88.99,10.76,0.72,0.00,2.77
21.00,105.37,11.29,0.76,0.00,2.78
21.00,103.25,12.81,0.80,0.00,2.78
21.00,97.24,13.09,0.76,0.00,2.78
21.00,95.12,11.16,0.70,0.00,2.78
21.00,100.14,11.57,0.71,0.00,2.78
21.00,94.80,11.99,0.78,0.00,2.78
21.00,113.13,10.61,0.77,0.00,2.78
21.00,101.62,11.20,0.71,0.00,2.78
21.00,105.99,11.70,0.78,0.00,2.78
21.00,104.85,11.41,0.78,0.00,2.80
21.00,96.49,12.26,0.75,0.00,2.80
21.00,100.85,12.10,0.74,0.00,2.80
21.00,106.74,12.64,0.75,0.00,2.80
21.00,102.56,11.20,0.76,0.00,2.80
21.00,104.14,11.71,0.70,0.00,2.80
26.00,107.99,12.39,0.74,0.00,2.80
26.00,105.33,12.48,0.83,0.00,2.80
21.00,88.99,10.71,0.75,0.00,2.80
21.00,109.49,10.42,0.79,0.00,2.81
21.00,98.62,12.94,0.77,0.00,2.81
21.00,100.14,13.31,0.74,0.00,2.81
21.00,95.37,11.19,0.71,0.00,2.81
21.00,108.49,11.00,0.80,0.00,2.81
21.00,104.62,11.81,0.79,0.00,2.81
21.00,102.75,11.84,0.72,0.00,2.81
21.00,106.87,10.96,0.76,0.00,2.81
21.00,91.37,10.24,0.73,0.00,2.81
21.00,105.36,11.06,0.80,0.00,2.83
21.00,104.12,11.82,0.80,0.00,2.83
21.00,102.16,13.12,0.71,0.00,2.83
21.00,100.85,11.54,0.76,0.00,2.83
21.00,95.12,10.91,0.70,0.00,2.83
26.00,108.87,12.15,0.81,0.00,2.83
21.00,98.24,10.96,0.70,0.00,2.83
21.00,90.70,10.20,0.73,0.00,2.83
21.00,90.87,10.48,0.72,0.00,2.83
21.00,93.86,11.04,0.76,0.00,2.83
21.00,95.88,11.22,0.75,0.00,2.83
21.00,98.74,11.10,0.82,0.00,2.83
21.00,102.71,11.23,0.71,0.00,2.84
26.00,108.49,12.45,0.75,0.00,2.84
21.00,95.87,11.29,0.73,0.00,2.84
21.00,101.87,11.13,0.81,0.00,2.84
21.00,109.87,10.66,0.82,0.00,2.84
21.00,103.49,12.51,0.81,0.00,2.84
21.00,109.21,11.22,0.81,0.00,2.84
21.00,106.37,10.81,0.84,0.00,2.84
21.00,102.62,11.44,0.75,0.00,2.84
21.00,107.13,11.26,0.74,0.00,2.84
26.00,106.87,12.46,0.80,0.00,2.84
26.00,105.10,12.84,0.76,0.00,2.84
32.00,112.49,13.99,0.84,0.00,2.84
21.00,93.85,12.09,0.70,0.00,2.84
21.00,104.87,10.93,0.77,0.00,2.86
21.00,104.33,11.21,0.81,0.00,2.86
21.00,107.86,11.74,0.81,0.00,2.86
21.00,101.50,11.64,0.81,0.00,2.86
21.00,101.55,11.51,0.83,0.00,2.86
21.00,100.75,12.16,0.76,0.00,2.86
21.00,102.87,12.62,0.75,0.00,2.86
21.00,95.85,12.55,0.71,0.00,2.86
21.00,105.49,11.34,0.80,0.00,2.86
21.00,104.49,11.29,0.82,0.00,2.86
21.00,106.61,11.62,0.79,0.00,2.86
21.00,101.42,13.30,0.76,0.00,2.86
26.00,109.12,12.26,0.79,0.00,2.86
26.00,102.22,12.80,0.79,0.00,2.86
26.00,105.42,12.43,0.85,0.00,2.86
32.00,109.62,14.46,0.83,0.00,2.86
21.00,96.71,10.73,0.74,0.00,2.86
21.00,104.99,11.19,0.83,0.00,2.88
21.00,104.99,11.01,0.81,0.00,2.88
21.00,105.87,11.38,0.81,0.00,2.88
21.00,104.55,11.85,0.84,0.00,2.88
21.00,107.25,11.34,0.78,0.00,2.88
21.00,103.12,12.08,0.78,0.00,2.88
21.00,100.32,12.04,0.76,0.00,2.88
21.00,99.70,13.64,0.74,0.00,2.88
21.00,106.85,12.50,0.79,0.00,2.88
21.00,102.12,12.31,0.75,0.00,2.88
21.00,85.71,10.43,0.72,0.00,2.88
21.00,105.87,11.75,0.74,0.00,2.88
21.00,105.62,11.21,0.81,0.00,2.89
21.00,105.74,11.71,0.80,0.00,2.89
21.00,102.87,11.22,0.84,0.00,2.89
21.00,103.62,11.57,0.81,0.00,2.89
21.00,106.85,11.49,0.76,0.00,2.89
21.00,106.87,11.41,0.76,0.00,2.89
21.00,107.74,11.50,0.79,0.00,2.89
21.00,109.99,10.54,0.83,0.00,2.89
21.00,94.49,11.75,0.81,0.00,2.89
21.00,104.49,11.78,0.81,0.00,2.89
26.00,110.99,11.44,0.76,0.00,2.89
26.00,107.28,12.44,0.76,0.00,2.89
26.00,108.24,12.31,0.79,0.00,2.89
21.00,91.54,10.45,0.76,0.00,2.89
21.00,90.11,10.23,0.72,0.00,2.89
21.00,95.32,11.02,0.74,0.00,2.89
21.00,96.62,11.14,0.69,0.00,2.89
21.00,96.24,10.84,0.72,0.00,2.89
21.00,92.85,12.06,0.72,0.00,2.89
21.00,102.44,12.29,0.81,0.00,2.91
21.00,102.88,12.43,0.83,0.00,2.91
21.00,106.49,11.54,0.83,0.00,2.91
21.00,107.74,11.57,0.81,0.00,2.91
21.00,106.85,11.79,0.75,0.00,2.91
21.00,104.37,12.04,0.76,0.00,2.91
32.00,109.87,12.89,0.86,0.00,2.91
21.00,96.61,12.43,0.75,0.00,2.91
21.00,92.99,11.50,0.74,0.00,2.91
21.00,92.24,10.81,0.75,0.00,2.91
21.00,94.99,10.66,0.78,0.00,2.91
21.00,95.99,11.05,0.75,0.00,2.91
21.00,113.24,10.63,0.78,0.00,2.91
21.00,105.12,11.79,0.84,0.00,2.91
21.00,107.42,11.06,0.80,0.00,2.91
21.00,110.99,11.20,0.83,0.00,2.92
21.00,101.74,12.82,0.78,0.00,2.92
21.00,106.62,12.16,0.76,0.00,2.92
21.00,104.99,10.30,0.85,0.00,2.92
21.00,103.55,11.64,0.85,0.00,2.92
21.00,105.21,11.30,0.83,0.00,2.92
21.00,106.49,12.11,0.82,0.00,2.92
21.00,104.99,12.13,0.85,0.00,2.92
21.00,102.24,10.94,0.85,0.00,2.92
21.00,96.33,13.39,0.80,0.00,2.92
21.00,103.10,12.61,0.78,0.00,2.92
21.00,105.00,12.17,0.78,0.00,2.92
21.00,93.99,13.54,0.75,0.00,2.92
21.00,107.00,12.65,0.77,0.00,2.92
21.00,100.74,12.79,0.81,0.00,2.92
26.00,111.49,11.61,0.81,0.00,2.92
26.00,108.49,12.39,0.79,0.00,2.92
26.00,110.99,11.40,0.81,0.00,2.92
26.00,106.99,11.69,0.84,0.00,2.92
32.00,112.86,12.81,0.87,0.00,2.92
21.00,93.86,12.15,0.74,0.00,2.92
21.00,105.62,11.15,0.84,0.00,2.94
21.00,110.37,10.53,0.82,0.00,2.94
21.00,97.99,11.80,0.84,0.00,2.94
21.00,104.99,12.03,0.85,0.00,2.94
21.00,103.12,13.14,0.76,0.00,2.94
21.00,106.14,12.04,0.75,0.00,2.94
21.00,102.87,11.25,0.72,0.00,2.94
21.00,101.00,11.91,0.76,0.00,2.94
26.00,107.77,12.19,0.82,0.00,2.94
32.00,108.61,15.81,0.85,0.00,2.94
21.00,93.10,10.99,0.74,0.00,2.94
21.00,91.12,10.61,0.72,0.00,2.94
21.00,107.49,10.93,0.87,0.00,2.94
21.00,104.87,11.95,0.73,0.00,2.94
21.00,104.50,11.78,0.75,0.00,2.94
26.00,107.49,12.36,0.81,0.00,2.94
26.00,111.84,11.54,0.80,0.00,2.94
26.00,103.74,12.79,0.79,0.00,2.94
32.00,110.21,13.47,0.87,0.00,2.94
21.00,91.86,10.54,0.75,0.00,2.94
21.00,101.62,11.94,0.80,0.00,2.95
21.00,103.88,11.14,0.81,0.00,2.95
21.00,100.62,11.55,0.86,0.00,2.95
21.00,97.11,12.70,0.75,0.00,2.95
26.00,98.77,12.16,0.83,0.00,2.95
32.00,112.99,13.67,0.76,0.00,2.95
32.00,112.88,13.50,0.87,0.00,2.95
21.00,95.99,11.03,0.74,0.00,2.95
21.00,103.28,11.39,0.84,0.00,2.95
